"MP","club","firstName","lastName","listVotes.AST MAREK","listVotes.GASIUK-PIHOWICZ KAMILA","listVotes.KOWNACKI BARTOSZ JÓZEF","listVotes.KROPIWNICKI ROBERT","listVotes.MULARCZYK ARKADIUSZ","listVotes.SMOLIŃSKI KAZIMIERZ","listVotes.ZIMOCH TOMASZ FRANCISZEK","listVotes.ŻUKOWSKA ANNA MARIA","secondName","vote"
306,"PiS","Grzegorz","Puda",YES,NO,YES,NO,YES,YES,NO,NO,"Paweł","VOTE_VALID"
307,"PSL-TD","Michał","Pyrzyk",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
308,"KO","Renata","Rak",NO,YES,NO,YES,NO,NO,YES,YES,"Urszula","VOTE_VALID"
309,"PSL-TD","Ireneusz","Raś",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
310,"PiS","Zbigniew","Rau",YES,NO,YES,NO,YES,YES,NO,NO,"Włodzimierz","VOTE_VALID"
311,"PiS","Marcin","Romanowski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
312,"Polska2050-TD","Bartosz","Romowicz",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
313,"KO","Monika","Rosa",NO,YES,NO,YES,NO,NO,YES,YES,"Anna","VOTE_VALID"
314,"PSL-TD","Wiesław","Różyński",NO,YES,NO,YES,NO,NO,YES,YES,"Marian","VOTE_VALID"
315,"PiS","Urszula","Rusecka",YES,NO,YES,NO,YES,YES,NO,NO,"Beata","VOTE_VALID"
316,"KO","Grzegorz","Rusiecki",NO,YES,NO,YES,NO,NO,YES,YES,"Stanisław","VOTE_VALID"
317,"KO","Jakub","Rutnicki",NO,YES,NO,YES,NO,NO,YES,YES,"Adam","VOTE_VALID"
318,"PiS","Paweł","Rychlik",YES,NO,YES,NO,YES,YES,NO,NO,"Piotr","VOTE_VALID"
319,"KO","Marek","Rząsa",NO,YES,NO,YES,NO,NO,YES,YES,"Zdzisław","VOTE_VALID"
320,"PSL-TD","Jarosław","Rzepa",NA,NA,NA,NA,NA,NA,NA,NA,"Michał","ABSENT"
321,"Kukiz15","Jarosław","Sachajko",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
322,"PiS","Paweł","Sałek",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
323,"KO","Wojciech","Saługa",NO,YES,NO,YES,NO,NO,YES,YES,"Paweł","VOTE_VALID"
324,"PSL-TD","Tadeusz","Samborski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
325,"PiS","Jacek","Sasin",YES,NO,YES,NO,YES,YES,NO,NO,"Robert","VOTE_VALID"
326,"PSL-TD","Marek","Sawicki",NO,YES,NO,YES,NO,NO,YES,YES,"Wacław","VOTE_VALID"
327,"Polska2050-TD","Ewa","Schädler",NO,YES,NO,YES,NO,NO,YES,YES,"Katarzyna","VOTE_VALID"
328,"Lewica","Joanna","Scheuring-Wielgus",NO,YES,NO,YES,NO,NO,YES,YES,"Izabela","VOTE_VALID"
329,"PiS","Anna","Schmidt",YES,NO,YES,NO,YES,YES,NO,NO,"Katarzyna","VOTE_VALID"
330,"PiS","Łukasz","Schreiber",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
331,"PiS","Jarosław","Sellin",YES,NO,YES,NO,YES,YES,NO,NO,"Daniel","VOTE_VALID"
332,"PiS","Olga","Semeniuk-Patkowska",YES,NO,YES,NO,YES,YES,NO,NO,"Ewa","VOTE_VALID"
333,"PiS","Edward","Siarka",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
334,"KO","Krystyna","Sibińska",NO,YES,NO,YES,NO,NO,YES,YES,"Mieczysława","VOTE_VALID"
335,"PSL-TD","Czesław","Siekierski",NO,YES,NO,YES,NO,NO,YES,YES,"Adam","VOTE_VALID"
336,"KO","Rafał","Siemaszko",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
337,"KO","Tomasz","Siemoniak",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
338,"KO","Bartłomiej","Sienkiewicz",NO,YES,NO,YES,NO,NO,YES,YES,"Henryk","VOTE_VALID"
339,"Lewica","Arkadiusz","Sikora",NO,YES,NO,YES,NO,NO,YES,YES,"-","VOTE_VALID"
340,"Konfederacja","Włodzimierz","Skalik",NO,NO,NO,NO,NO,NO,NO,NO,"Bogdan","VOTE_VALID"
341,"Polska2050-TD","Marcin","Skonieczka",NO,YES,NO,YES,NO,NO,YES,YES,"Seweryn","VOTE_VALID"
342,"KO","Krystyna","Skowrońska",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
343,"PiS","Sławomir","Skwarek",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
344,"KO","Waldemar","Sługocki",NO,YES,NO,YES,NO,NO,YES,YES,"Jan","VOTE_VALID"
345,"KO","Weronika","Smarduch",NO,YES,NO,YES,NO,NO,YES,YES,"Anna","VOTE_VALID"
346,"PiS","Kazimierz","Smoliński",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
347,"KO","Anna","Sobolak",NO,YES,NO,YES,NO,NO,YES,YES,"Helena","VOTE_VALID"
348,"PiS","Krzysztof","Sobolewski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
349,"PiS","Artur","Soboń",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
350,"PiS","Agnieszka","Soin",YES,NO,YES,NO,YES,YES,NO,NO,"Anna","VOTE_VALID"
351,"PSL-TD","Zbigniew","Sosnowski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
352,"KO","Marek","Sowa",NO,YES,NO,YES,NO,NO,YES,YES,"Jan","VOTE_VALID"
353,"PiS","Katarzyna","Sójka",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
354,"PSL-TD","Magdalena","Sroka",NO,YES,NO,YES,NO,NO,YES,YES,"Joanna","VOTE_VALID"
355,"PiS","Mirosława","Stachowiak-Różecka",YES,NO,YES,NO,YES,YES,NO,NO,"Agnieszka","VOTE_VALID"
356,"PiS","Dariusz","Stefaniuk",YES,NO,YES,NO,YES,YES,NO,NO,"Paweł","VOTE_VALID"
357,"KO","Franciszek","Sterczewski",NO,YES,NO,YES,NO,NO,YES,YES,"Wojciech","VOTE_VALID"
358,"Polska2050-TD","Piotr","Strach",NO,YES,NO,YES,NO,NO,YES,YES,"Paweł","VOTE_VALID"
359,"Polska2050-TD","Mirosław","Suchoń",NO,YES,NO,YES,NO,NO,YES,YES,"Tadeusz","VOTE_VALID"
360,"PiS","Marek","Suski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
361,"KO","Paweł","Suski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
362,"PiS","Artur","Szałabawka",YES,NO,YES,NO,YES,YES,NO,NO,"Lesław","VOTE_VALID"
363,"PiS","Wojciech","Szarama",YES,NO,YES,NO,YES,YES,NO,NO,"Piotr","VOTE_VALID"
364,"Lewica","Wiesław","Szczepański",NO,YES,NO,YES,NO,NO,YES,YES,"Andrzej","VOTE_VALID"
365,"KO","Michał","Szczerba",NO,YES,NO,YES,NO,NO,YES,YES,"Roch","VOTE_VALID"
366,"PiS","Krzysztof","Szczucki",YES,NO,YES,NO,YES,YES,NO,NO,"Łukasz","VOTE_VALID"
367,"PiS","Józefa","Szczurek-Żelazko",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
368,"PiS","Paweł","Szefernaker",YES,NO,YES,NO,YES,YES,NO,NO,"Maciej","VOTE_VALID"
369,"Lewica","Andrzej","Szejna",NO,YES,NO,YES,NO,NO,YES,YES,"Jan","VOTE_VALID"
370,"KO","Andrzej","Szewiński",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
371,"KO","Adam","Szłapka",NO,YES,NO,YES,NO,NO,YES,YES,"Stanisław","VOTE_VALID"
372,"KO","Henryk","Szopiński",NO,YES,NO,YES,NO,NO,YES,YES,"Marian","VOTE_VALID"
373,"PiS","Paweł","Szrot",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
374,"KO","Krystyna","Szumilas",NO,YES,NO,YES,NO,NO,YES,YES,"Maria","VOTE_VALID"
375,"PiS","Stanisław","Szwed",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT"
376,"Polska2050-TD","Ewa","Szymanowska",NO,YES,NO,YES,NO,NO,YES,YES,"Joanna","VOTE_VALID"
377,"KO","Tomasz","Szymański",NO,YES,NO,YES,NO,NO,YES,YES,"Józef","VOTE_VALID"
378,"PiS","Szymon","Szynkowski vel Sęk",YES,NO,YES,NO,YES,YES,NO,NO,"Andrzej","VOTE_VALID"
379,"KO","Łukasz","Ściebiorowski",NO,YES,NO,YES,NO,NO,YES,YES,"Andrzej","VOTE_VALID"
380,"PiS","Agnieszka","Ścigaj",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
381,"PiS","Andrzej","Śliwka",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
382,"Polska2050-TD","Paweł","Śliz",NO,YES,NO,YES,NO,NO,YES,YES,"Marek","VOTE_VALID"
383,"Lewica","Krzysztof","Śmiszek",NO,YES,NO,YES,NO,NO,YES,YES,"Jan","VOTE_VALID"
384,"PiS","Jacek","Świat",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
385,"KO","Apoloniusz","Tajner",NO,YES,NO,YES,NO,NO,YES,YES,"Leopold","VOTE_VALID"
386,"PiS","Krzysztof","Tchórzewski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
387,"PiS","Robert","Telus",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
388,"PiS","Ryszard","Terlecki",YES,NO,YES,NO,YES,YES,NO,NO,"Iwon","VOTE_VALID"
389,"Lewica","Tadeusz","Tomaszewski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
390,"PSL-TD","Jacek","Tomczak",NO,YES,NO,YES,NO,NO,YES,YES,"Jerzy","VOTE_VALID"
391,"Polska2050-TD","Wioleta","Tomczak",NO,YES,NO,YES,NO,NO,YES,YES,"Barbara","VOTE_VALID"
392,"KO","Cezary","Tomczyk",NO,YES,NO,YES,NO,NO,YES,YES,"Józef","VOTE_VALID"
393,"PSL-TD","Stanisław","Tomczyszyn",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
394,"KO","Małgorzata","Tracz",NO,YES,NO,YES,NO,NO,YES,YES,"Elżbieta","VOTE_VALID"
395,"Lewica","Tomasz","Trela",NO,YES,NO,YES,NO,NO,YES,YES,"Dominik","VOTE_VALID"
396,"KO","Krzysztof","Truskolaski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
397,"Konfederacja","Krzysztof","Tuduj",NO,NO,NO,NO,NO,NO,NO,NO,NA,"VOTE_VALID"
398,"PiS","Sylwester","Tułajew",YES,NO,YES,NO,YES,YES,NO,NO,"Karol","VOTE_VALID"
399,"Konfederacja","Witold","Tumanowicz",NO,NO,NO,NO,NO,NO,NO,NO,"Sławomir","VOTE_VALID"
400,"KO","Donald","Tusk",NO,YES,NO,YES,NO,NO,YES,YES,"Franciszek","VOTE_VALID"
401,"Konfederacja","Stanisław","Tyszka",NO,NO,NO,NO,NO,NO,NO,NO,NA,"VOTE_VALID"
402,"Lewica","Katarzyna","Ueberhan",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
403,"KO","Jarosław","Urbaniak",NO,YES,NO,YES,NO,NO,YES,YES,"Piotr","VOTE_VALID"
404,"PiS","Piotr","Uruski",YES,NO,YES,NO,YES,YES,NO,NO,"Marcin","VOTE_VALID"
405,"PiS","Piotr","Uściński",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
406,"KO","Jarosław","Wałęsa",NO,YES,NO,YES,NO,NO,YES,YES,"Leszek","VOTE_VALID"
407,"PiS","Marcin","Warchoł",YES,NO,YES,NO,YES,YES,NO,NO,"Józef","VOTE_VALID"
408,"KO","Robert","Wardzała",NO,YES,NO,YES,NO,NO,YES,YES,"Marian","VOTE_VALID"
409,"PiS","Robert","Warwas",YES,NO,YES,NO,YES,YES,NO,NO,"Piotr","VOTE_VALID"
410,"PiS","Jan","Warzecha",YES,NO,YES,NO,YES,YES,NO,NO,"Marek","VOTE_VALID"
411,"PiS","Małgorzata","Wassermann",YES,NO,YES,NO,YES,YES,NO,NO,"Ewa","VOTE_VALID"
412,"Konfederacja","Michał","Wawer",NO,NO,NO,NO,NO,NO,NO,NO,"Jan","VOTE_VALID"
413,"PiS","Maciej","Wąsik",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
414,"KO","Marta","Wcisło",NO,YES,NO,YES,NO,NO,YES,YES,"Anna","VOTE_VALID"
415,"PiS","Rafał","Weber",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
416,"PiS","Marek","Wesoły",YES,NO,YES,NO,YES,YES,NO,NO,"Jacek","VOTE_VALID"
417,"Lewica","Joanna","Wicha",NO,YES,NO,YES,NO,NO,YES,YES,"Beata","VOTE_VALID"
418,"PiS","Patryk","Wicher",YES,NO,YES,NO,YES,YES,NO,NO,"Tomasz","VOTE_VALID"
419,"Lewica","Dariusz","Wieczorek",NO,YES,NO,YES,NO,NO,YES,YES,"Krzysztof","VOTE_VALID"
420,"PiS","Jarosław","Wieczorek",YES,NO,YES,NO,YES,YES,NO,NO,"Wiesław","VOTE_VALID"
421,"KO","Monika","Wielichowska",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
422,"Konfederacja","Ryszard","Wilk",NO,NO,NO,NO,NO,NO,NO,NO,"Jakub","VOTE_VALID"
423,"PiS","Teresa","Wilk",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
424,"Konfederacja","Przemysław","Wipler",NO,NO,NO,NO,NO,NO,NO,NO,"Janusz","VOTE_VALID"
425,"KO","Aleksandra","Wiśniewska",NO,YES,NO,YES,NO,NO,YES,YES,"Karolina","VOTE_VALID"
426,"KO","Adrian","Witczak",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
427,"KO","Mariusz","Witczak",NO,YES,NO,YES,NO,NO,YES,YES,"Sebastian","VOTE_VALID"
428,"PiS","Elżbieta","Witek",YES,NO,YES,NO,YES,YES,NO,NO,"Barbara","VOTE_VALID"
429,"KO","Przemysław","Witek",NO,YES,NO,YES,NO,NO,YES,YES,"Jarosław","VOTE_VALID"
430,"Polska2050-TD","Kamil","Wnuk",NO,YES,NO,YES,NO,NO,YES,YES,"Wiesław","VOTE_VALID"
431,"KO","Anna","Wojciechowska",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
432,"PiS","Agnieszka","Wojciechowska van Heukelom",YES,NO,YES,NO,YES,YES,NO,NO,"Krystyna","VOTE_VALID"
433,"PiS","Agata","Wojtyszek",YES,NO,YES,NO,YES,YES,NO,NO,"Katarzyna","VOTE_VALID"
434,"KO","Bogusław","Wołoszański",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT"
435,"PiS","Michał","Woś",YES,NO,YES,NO,YES,YES,NO,NO,"Piotr","VOTE_VALID"
436,"PiS","Grzegorz","Woźniak",YES,NO,YES,NO,YES,YES,NO,NO,"Adam","VOTE_VALID"
437,"PiS","Tadeusz","Woźniak",YES,NO,YES,NO,YES,YES,NO,NO,"Jacek","VOTE_VALID"
438,"PiS","Michał","Wójcik",YES,NO,YES,NO,YES,YES,NO,NO,"Marek","VOTE_VALID"
439,"KO","Maciej","Wróbel",NO,YES,NO,YES,NO,NO,YES,YES,"Stanisław","VOTE_VALID"
440,"PiS","Bartłomiej","Wróblewski",YES,NO,YES,NO,YES,YES,NO,NO,"Piotr","VOTE_VALID"
441,"Polska2050-TD","Paweł","Zalewski",NO,YES,NO,YES,NO,NO,YES,YES,"Ksawery","VOTE_VALID"
442,"Lewica","Adrian","Zandberg",NO,YES,NO,YES,NO,NO,YES,YES,"Tadeusz","VOTE_VALID"
443,"Konfederacja","Andrzej","Zapałowski",NO,NO,NO,NO,NO,NO,NO,NO,"Tomasz","VOTE_VALID"
444,"KO","Bartosz","Zawieja",NO,YES,NO,YES,NO,NO,YES,YES,"Józef","VOTE_VALID"
445,"Lewica","Marcelina","Zawisza",NO,YES,NO,NO,NO,NO,YES,YES,"Monika","VOTE_VALID"
446,"PiS","Sławomir","Zawiślak",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
447,"KO","Bogdan","Zdrojewski",NO,YES,NO,YES,NO,NO,YES,YES,"Andrzej","VOTE_VALID"
448,"KO","Witold","Zembaczyński",NO,YES,NO,YES,NO,NO,YES,YES,"Maciej","VOTE_VALID"
449,"PSL-TD","Piotr","Zgorzelski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
450,"PSL-TD","Zbigniew","Ziejewski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
451,"KO","Urszula","Zielińska",NO,YES,NO,YES,NO,NO,YES,YES,"Sara","VOTE_VALID"
452,"PiS","Jarosław","Zieliński",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
453,"PiS","Tomasz","Zieliński",YES,NO,YES,NO,YES,YES,NO,NO,"Andrzej","VOTE_VALID"
454,"PSL-TD","Jolanta","Zięba-Gzik",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
455,"Polska2050-TD","Tomasz","Zimoch",NO,YES,NO,YES,NO,NO,YES,YES,"Franciszek","VOTE_VALID"
456,"PiS","Zbigniew","Ziobro",YES,NO,YES,NO,YES,YES,NO,NO,"Tadeusz","VOTE_VALID"
457,"PiS","Wojciech","Zubowski",YES,NO,YES,NO,YES,YES,NO,NO,"Michał","VOTE_VALID"
458,"PiS","Ireneusz","Zyska",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
459,"PSL-TD","Bożena","Żelazowska",NO,YES,NO,YES,NO,NO,YES,YES,"Jadwiga","VOTE_VALID"
460,"Lewica","Anna","Żukowska",NO,YES,NO,YES,NO,NO,YES,YES,"Maria","VOTE_VALID"
